legacy_table,legacy_id,canonical_table,canonical_id,migration_action,duplicate_of,status,reason
relations,1,p3_canonical_relationships,1,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,2,p3_canonical_relationships,2,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,3,p3_canonical_relationships,3,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,4,p3_canonical_relationships,4,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,5,p3_canonical_relationships,5,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,6,p3_canonical_relationships,6,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,7,p3_canonical_relationships,7,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,8,p3_canonical_relationships,8,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,9,p3_canonical_relationships,9,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,10,p3_canonical_relationships,10,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,11,p3_canonical_relationships,11,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,12,p3_canonical_relationships,12,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,13,p3_canonical_relationships,13,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,14,p3_canonical_relationships,14,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,15,p3_canonical_relationships,15,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,16,p3_canonical_relationships,16,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,17,p3_canonical_relationships,17,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,18,p3_canonical_relationships,,MANUAL_REVIEW,,manual_review,missing_endpoint
relations,19,p3_canonical_relationships,18,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,20,p3_canonical_relationships,19,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,21,p3_canonical_relationships,20,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,22,p3_canonical_relationships,21,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,23,p3_canonical_relationships,22,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,24,p3_canonical_relationships,23,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,25,p3_canonical_relationships,24,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
relations,26,p3_canonical_relationships,25,ALREADY_MIGRATED,,already_migrated,semantic_and_endpoint_match
